Player/Team,Type,GRD,PTS,REB,AST,STL,BLK,FOULS,TO,FGM,FGA,3PM,3PA,FTM,FTA,Game_ID,Team Name,Win,Season,OREB,DREB,MIN,Q1,Q2,Q3,Q4
FadedMacBH4L,Player,A,26,0,14,0,0,2,4,10,14,6,8,0,0,101,All Inclusive,0,1,,,,,,,
Void hoops,Player,B+,17,0,2,0,0,1,0,6,9,5,8,0,0,101,All Inclusive,0,1,,,,,,,
OVL BLVCK,Player,B-,12,0,3,1,0,0,0,5,7,2,4,0,0,101,All Inclusive,0,1,,,,,,,
Jalen19yktv,Player,B,10,2,3,0,0,2,0,4,5,2,2,0,0,101,All Inclusive,0,1,,,,,,,
Duckysteak123,Player,A-,15,6,2,0,2,2,0,6,8,1,1,2,2,101,All Inclusive,0,1,,,,,,,
TOTAL,Total,B+,80,8,24,1,2,7,4,31,43,16,23,2,2,101,All Inclusive,0,1,,,,,,,
IZENDIOR,Player,A+,57,0,9,1,0,0,1,20,28,14,21,3,3,101,Bucketboys,1,1,,,,,,,
ClipsNYCTTV,Player,A-,28,1,0,0,0,0,0,12,14,4,6,0,0,101,Bucketboys,1,1,,,,,,,
IIAvonBarksdale,Player,C+,0,1,4,2,0,1,0,0,2,0,1,0,0,101,Bucketboys,1,1,,,,,,,
LeefUP,Player,B-,3,4,3,0,0,0,0,1,2,1,1,0,0,101,Bucketboys,1,1,,,,,,,
xFRE3SM0KEx,Player,A-,12,11,6,1,1,1,0,4,4,0,0,4,4,101,Bucketboys,1,1,,,,,,,
TOTAL,Total,B+,100,17,22,4,1,2,1,37,50,19,29,7,7,101,Bucketboys,1,1,,,,,,,
FadedMacBH4L,Player,B+,41,0,4,1,0,1,4,15,21,9,13,2,2,102,All Inclusive,0,1,,,,,,,
Void hoops,Player,B-,13,0,3,1,0,0,1,5,6,3,4,0,0,102,All Inclusive,0,1,,,,,,,
OVL BLVCK,Player,C+,3,0,1,0,0,0,0,1,3,1,3,0,0,102,All Inclusive,0,1,,,,,,,
jalen19yktv,Player,B,14,2,5,1,0,2,0,5,9,4,6,0,0,102,All Inclusive,0,1,,,,,,,
Duckysteak123,Player,B,6,4,0,3,1,2,0,2,4,2,2,0,0,102,All Inclusive,0,1,,,,,,,
TOTAL,Team Total,B,77,8,17,3,3,4,7,28,43,19,28,2,2,102,All Inclusive,0,1,,,,,,,
IZENDOR,Player,A+,41,1,4,0,0,0,0,15,18,10,11,1,1,102,Bucketboys,1,1,,,,,,,
ClipsNYCTTV,Player,A-,41,0,0,1,0,3,1,15,20,9,11,2,2,102,Bucketboys,1,1,,,,,,,
IIAvonBarksdale,Player,C+,4,0,3,3,0,1,0,1,4,1,3,1,2,102,Bucketboys,1,1,,,,,,,
LeefUP,Player,A-,9,5,8,0,0,1,0,3,5,3,4,0,0,102,Bucketboys,1,1,,,,,,,
xFRE3SM0KEx,Player,A-,7,10,7,1,0,0,3,3,3,1,1,0,0,102,Bucketboys,1,1,,,,,,,
TOTAL,Team Total,A-,102,16,22,5,0,5,4,37,50,24,30,4,5,102,Bucketboys,1,1,,,,,,,
Sinnerz ll,Player,A-,14,0,10,4,0,0,6,5,7,2,4,2,2,103,THE COALITION,1,1,,,,,,,
YHWH zx,Player,A,46,0,1,2,0,0,2,15,16,11,11,5,5,103,THE COALITION,1,1,,,,,,,
DonJulioTv,Player,C,2,0,1,2,1,4,0,1,3,0,2,0,0,103,THE COALITION,1,1,,,,,,,
Tzuld,Player,B-,0,4,5,0,0,0,2,0,1,0,1,0,0,103,THE COALITION,1,1,,,,,,,
MJ EXISTS,Player,B+,12,9,2,0,0,2,1,6,9,0,0,0,0,103,THE COALITION,1,1,,,,,,,
TOTAL,Total,B+,74,13,19,8,1,6,11,27,36,13,18,7,7,103,THE COALITION,1,1,,,,,,,
lLearn Pain,Player,A+,33,1,10,2,0,1,1,12,17,9,14,0,0,103,Kintsugi Gaming,0,1,,,,,,,
llDevon_,Player,B+,9,0,4,0,0,1,0,3,5,3,5,0,0,103,Kintsugi Gaming,0,1,,,,,,,
Goatsnelson23,Player,C,10,1,0,3,0,4,4,4,7,2,4,0,0,103,Kintsugi Gaming,0,1,,,,,,,
lRangeiana,Player,A-,11,1,6,5,1,0,1,4,6,3,3,0,0,103,Kintsugi Gaming,0,1,,,,,,,
RSM Hendrix,Player,B,8,5,2,0,0,3,3,4,6,0,1,0,0,103,Kintsugi Gaming,0,1,,,,,,,
TOTAL,Total,B+,71,8,22,10,1,9,9,27,41,17,27,0,0,103,Kintsugi Gaming,0,1,,,,,,,
FadedMacBH4L,Player,A,48,0,11,0,0,0,2,17,23,12,14,2,2,104,All Inclusive,1,1,,,,,,,
Void hoops,Player,B+,17,0,3,4,0,3,0,6,8,5,7,0,0,104,All Inclusive,1,1,,,,,,,
OVL BLVCK,Player,B+,17,2,1,1,0,1,0,7,10,3,5,0,0,104,All Inclusive,1,1,,,,,,,
TxxGreaTNeSS,Player,B,4,1,2,2,0,2,1,2,6,0,0,0,0,104,All Inclusive,1,1,,,,,,,
Duckysteak123,Player,B+,7,9,4,0,0,0,0,3,4,1,1,0,0,104,All Inclusive,1,1,,,,,,,
TOTAL,Team,B+,93,12,21,7,0,6,4,35,51,21,27,2,2,104,All Inclusive,1,1,,,,,,,
WhiteWolfBB,Player,B+,10,1,6,2,0,1,1,5,5,0,0,0,0,104,One In A Million,0,1,,,,,,,
OiAMERSAVAGE,Player,A-,26,0,2,0,0,1,0,12,15,2,5,0,0,104,One In A Million,0,1,,,,,,,
OiAMTHEGREAT,Player,A-,16,1,4,0,1,0,2,6,12,3,7,1,2,104,One In A Million,0,1,,,,,,,
WhitePong,Player,B+,3,4,5,1,0,0,3,1,3,1,2,0,0,104,One In A Million,0,1,,,,,,,
OiAMSITCH,Player,A,24,12,10,0,1,2,1,11,15,0,0,2,2,104,One In A Million,0,1,,,,,,,
TOTAL,Team,A-,79,18,27,3,2,4,7,35,50,6,14,3,4,104,One In A Million,0,1,,,,,,,
FadedMacBH4L,player,A+,22,0,14,1,0,0,1,9,12,4,6,0,0,105,All Inclusive,,1,,,,,,,
Void hoops,player,B,23,1,1,0,0,4,0,9,15,5,8,0,0,105,All Inclusive,,1,,,,,,,
OVL BLVCK,player,B,11,3,1,1,1,0,1,4,6,3,3,0,0,105,All Inclusive,,1,,,,,,,
TXxGreATNeSS,player,B+,10,1,0,1,0,1,1,4,6,0,2,2,2,105,All Inclusive,,1,,,,,,,
Duckysteak123,player,A,12,12,5,0,3,0,0,6,9,0,0,0,0,105,All Inclusive,,1,,,,,,,
TOTAL,total,B+,78,17,21,3,4,5,3,32,48,12,19,2,2,105,All Inclusive,,1,,,,,,,
OIAMERSAVAGE,player,C,6,0,7,0,0,2,0,3,6,0,3,0,0,105,One In A Million,,1,,,,,,,
WhiteWolfBB,player,B-,8,0,3,2,1,1,0,3,5,2,4,0,0,105,One In A Million,,1,,,,,,,
OIAMTHEGREAT,player,B+,19,0,0,0,0,0,0,8,14,3,8,0,0,105,One In A Million,,1,,,,,,,
WhitePong,player,C+,0,4,3,0,1,3,1,0,1,0,1,0,0,105,One In A Million,,1,,,,,,,
OIAMSITCH,player,A,31,10,9,0,1,0,2,15,21,0,1,1,2,105,One In A Million,,1,,,,,,,
TOTAL,total,B,64,14,22,2,3,6,4,29,47,5,17,1,2,105,One In A Million,,1,,,,,,,
JevonWV,Player,A,7,0,9,2,0,0,1,1,3,1,3,4,4,106,Beat The Odds,1,1,,,,,,,
Ice Near,Player,B+,11,0,3,0,0,2,1,4,4,3,3,0,0,106,Beat The Odds,1,1,,,,,,,
Crunch tuff,Player,B,10,0,0,0,0,0,0,4,5,2,2,0,0,106,Beat The Odds,1,1,,,,,,,
Sensei_Kevvv,Player,B-,5,1,0,0,0,0,0,2,2,1,1,0,1,106,Beat The Odds,1,1,,,,,,,
Paint-Defender,Player,B+,10,6,2,1,0,2,1,5,5,0,0,0,0,106,Beat The Odds,1,1,,,,,,,
TOTAL,Total,B+,43,7,14,3,0,4,3,16,19,7,9,4,5,106,Beat The Odds,1,1,,,,,,,
lLearn Pain,Player,B+,3,0,7,0,0,0,2,1,5,1,5,0,0,106,Kintsugi Gaming,0,1,,,,,,,
xxvBunk,Player,B-,9,0,2,0,0,3,0,4,6,1,3,0,0,106,Kintsugi Gaming,0,1,,,,,,,
Goatsnelson23,Player,C+,6,0,1,1,0,3,0,3,4,0,1,0,0,106,Kintsugi Gaming,0,1,,,,,,,
IRangeiana,Player,B-,7,0,1,2,0,1,0,3,4,1,1,0,0,106,Kintsugi Gaming,0,1,,,,,,,
RSM Hendrix,Player,B-,5,5,1,0,0,1,2,2,2,1,1,0,0,106,Kintsugi Gaming,0,1,,,,,,,
TOTAL,Total,B-,30,5,12,3,0,7,4,13,21,4,11,0,0,106,Kintsugi Gaming,0,1,,,,,,,
ClipsNYCTTV,Player,A,30,0,9,0,0,1,1,11,14,7,8,1,1,107,Bucketboys,0,1,,,,,,,
IZENDOR,Player,D+,24,0,2,0,0,1,6,9,15,6,10,0,0,107,Bucketboys,0,1,,,,,,,
IIAvonBarksdale,Player,C-,3,0,1,0,0,1,0,1,3,1,1,0,0,107,Bucketboys,0,1,,,,,,,
LeefUP,Player,C-,3,2,3,0,0,2,3,1,4,1,3,0,0,107,Bucketboys,0,1,,,,,,,
xFRE3SM0KEx,Player,B,11,11,3,0,0,0,2,5,5,0,0,1,2,107,Bucketboys,0,1,,,,,,,
TOTAL,Total,C+,71,13,18,0,0,5,12,27,41,15,22,2,3,107,Bucketboys,0,1,,,,,,,
llTrifecta,Player,A+,36,1,14,1,1,0,0,12,16,10,14,2,2,107,Krashout,1,1,,,,,,,
IllFadex,Player,A,36,0,1,4,0,0,0,14,18,8,11,0,0,107,Krashout,1,1,,,,,,,
Clxmp4k,Player,B-,5,0,1,3,0,1,0,2,6,1,4,0,0,107,Krashout,1,1,,,,,,,
Fr Fella,Player,A-,17,3,0,3,1,2,1,6,7,5,6,0,0,107,Krashout,1,1,,,,,,,
Ill II WHEEL II,Player,A-,8,11,7,1,0,1,0,4,5,0,0,0,0,107,Krashout,1,1,,,,,,,
TOTAL,Total,A-,102,15,23,12,2,4,1,38,52,24,35,2,2,107,Krashout,1,1,,,,,,,
TOTAL,Team Total,B,77,14,22,4,0,4,9,30,48,15,25,2,2,108,Bucketboys,,1,,,,,,,
ClipsNYCTTV,,B-,12,1,10,1,0,0,4,5,12,2,5,0,0,108,Bucketboys,,1,,,,,,,
IZENDIOR,,A-,27,0,5,1,0,1,1,9,16,7,12,2,2,108,Bucketboys,,1,,,,,,,
IIAvonBarksdale,,B-,19,1,2,1,0,2,2,7,8,5,6,0,0,108,Bucketboys,,1,,,,,,,
LeefUP,,C+,5,0,0,0,0,1,0,2,3,1,2,0,0,108,Bucketboys,,1,,,,,,,
xFRE3SM0KEx,,A-,14,12,5,1,0,0,1,7,9,0,0,0,0,108,Bucketboys,,1,,,,,,,
TOTAL,Team Total,A-,102,15,24,7,1,6,4,39,50,22,32,2,2,108,Krashout,,1,,,,,,,
IITrifecta,,A+,36,0,6,0,0,0,0,13,21,10,17,0,0,108,Krashout,,1,,,,,,,
IIIFadex,,A+,41,0,4,1,0,2,1,15,16,9,10,2,2,108,Krashout,,1,,,,,,,
